,Station,Previous Station Code,Up/Down Line,Day of Week,Hour,Minute,Number of Transfer,GetIn_cnt,GetOut_cnt,PrevCongestion0,PrevCongestion1,PrevCongestion2,PrevCongestion3,PrevCongestion4,PrevCongestion5,PrevCongestion6,PrevCongestion7,PrevCongestion8,PrevCongestion9,sin_time,cos_time,sin_minute,cos_minute,Route Code_0.0,Route Code_1.0,Route Code_2.0,Route Code_3.0,Route Code_4.0,Route Code_5.0,Fast Transfer0,Fast Transfer1,Fast Transfer2,Fast Transfer3,Fast Transfer4,Fast Transfer5,Fast Transfer6,Fast Transfer7,Fast Transfer8,Fast Transfer9,Fast Get Off0,Fast Get Off1,Fast Get Off2,Fast Get Off3,Fast Get Off4,Fast Get Off5,Fast Get Off6,Fast Get Off7,Fast Get Off8,Fast Get Off9
23207,239,239,1,4,6,50,2.0,654.6415969762872,394.89174467495167,35.5,28.0,25.25,29.75,29.75,28.0,26.0,23.25,20.5,23.25,1.0,6.123233995736766e-17,-0.8660254037844386,0.5000000000000001,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
14008,221,221,0,1,8,20,0.0,509.0596320331012,6875.981655458711,132.2,156.4,179.6,174.6,157.4,176.6,146.4,174.6,135.2,111.0,0.8660254037844387,-0.4999999999999998,0.8660254037844387,-0.4999999999999998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
482,201,201,1,4,8,40,1.0,152.60677004018584,4111.547193121999,180.0,150.0,139.0,155.0,129.0,139.0,138.0,130.0,110.0,111.0,0.8660254037844387,-0.4999999999999998,-0.8660254037844384,-0.5000000000000004,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0
16372,225,225,0,3,10,20,0.0,576.2238507251348,693.0561325959123,51.0,65.0,87.0,93.0,98.0,80.0,85.0,72.0,67.0,72.0,0.4999999999999999,-0.8660254037844387,0.8660254037844387,-0.4999999999999998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
22494,238,238,1,4,9,50,1.0,404.8985915850778,321.41142788101405,26.4,28.2,28.2,26.4,31.2,35.6,32.8,25.0,33.2,25.6,0.7071067811865476,-0.7071067811865475,-0.8660254037844386,0.5000000000000001,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
26481,243,243,0,2,9,10,1.0,58.09301868920587,62.73171288826815,17.5,25.0,31.0,37.0,26.0,30.0,29.0,27.0,29.0,18.0,0.7071067811865476,-0.7071067811865475,0.8660254037844386,0.5000000000000001,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
28805,234,234,0,2,9,10,2.0,728.5720616134413,303.32803557184934,38.66666666666666,52.833333333333336,52.5,46.333333333333336,38.66666666666666,44.0,43.0,29.0,22.5,19.5,0.7071067811865476,-0.7071067811865475,0.8660254037844386,0.5000000000000001,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0
24635,240,240,0,2,7,30,0.0,289.0998161629905,284.14425365687083,32.0,47.0,30.0,42.0,36.0,35.0,24.0,30.0,34.0,20.0,0.9659258262890684,-0.2588190451025206,5.66553889764798e-16,-1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
7487,210,210,0,2,10,10,0.0,258.92340299427286,530.0430619932511,20.0,30.0,29.0,27.0,26.0,27.0,28.0,21.0,23.0,20.0,0.4999999999999999,-0.8660254037844387,0.8660254037844386,0.5000000000000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
18288,228,228,0,2,10,0,0.0,3011.053454685869,722.6805463642421,37.0,48.0,57.0,58.0,71.0,60.0,63.0,49.0,47.0,49.0,0.4999999999999999,-0.8660254037844387,0.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
